,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
298,2016,12,ANNECY,PARIS LYON,224.593406593,183,1,18,26.142592592600003,3.4218864468900003,18,26.142592592600003,7,0,28.5714285714,28.5714285714,21.4285714286,21.4285714286,0.0,0.0
299,2016,12,PARIS MONTPARNASSE,POITIERS,105.56547619,505,1,37,41.1234234234,2.68290343915,24,56.6034722222,14,7,23.3333333333,26.6666666667,23.3333333333,23.3333333333,3.3333333333299984,0.0
300,2016,7,MARSEILLE ST CHARLES,PARIS LYON,197.639772727,442,2,42,36.119047619,4.17272727273,42,36.1190476,15,4,45.0,15.0,5.0,17.5,15.0,2.5
301,2016,7,PARIS LYON,MULHOUSE VILLE,166.279513889,288,0,29,28.3103448276,3.78472222222,21,34.4285714,10,2,24.1379310345,10.3448275862,17.2413793103,17.2413793103,17.2413793103,13.7931034483
302,2016,7,PARIS MONTPARNASSE,ANGERS SAINT LAUD,100.670050761,394,0,45,26.177777777800003,4.42131979695,31,29.4516129,11,1,35.7142857143,26.190476190500004,0.0,26.190476190500004,9.523809523810002,2.38095238095
303,2016,7,LYON PART DIEU,MARSEILLE ST CHARLES,101.909468439,602,0,141,28.6737588652,8.21262458472,96,35.6458333,38,12,19.2857142857,24.285714285700003,25.7142857143,18.5714285714,7.1428571428600005,5.0
304,2016,7,RENNES,LYON PART DIEU,261.28,125,0,12,55.6666666667,5.992000000000001,11,46.090909100000005,7,3,25.0,16.6666666667,0.0,41.6666666667,16.6666666667,0.0
305,2015,10,PARIS EST,REIMS,47.1830985915,213,0,17,14.1764705882,1.4178403755899998,5,24.2,1,0,17.6470588235,47.0588235294,5.8823529411800015,17.6470588235,0.0,11.7647058824
306,2015,10,PARIS MONTPARNASSE,POITIERS,104.23046875,512,0,23,18.0,0.73828125,9,25.4444444,2,0,30.4347826087,39.130434782600005,4.34782608696,17.3913043478,4.34782608696,4.34782608696
308,2016,8,MONTPELLIER,LYON PART DIEU,110.325396825,320,5,63,29.7777777778,8.1746031746,45,36.5777778,18,7,37.0967741935,32.2580645161,14.5161290323,3.22580645161,1.61290322581,11.2903225806
310,2017,8,PARIS LYON,BELLEGARDE (AIN),164.588888889,181,1,24,29.63125,5.581111111109999,17,36.6431372549,11,2,25.0,37.5,12.5,16.6666666667,4.16666666667,4.16666666667
311,2017,8,PARIS LYON,NICE VILLE,340.978021978,280,7,68,41.903921568600005,13.036996337,68,41.903921568600005,37,11,38.8059701493,16.4179104478,25.373134328400003,16.4179104478,0.0,2.9850746268700004
312,2017,8,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.457627119,118,0,13,22.0961538462,3.93531073446,7,29.65,1,1,30.7692307692,30.7692307692,23.0769230769,7.692307692310001,7.692307692310001,0.0
313,2017,8,VALENCE ALIXAN TGV,PARIS LYON,133.853896104,308,0,96,32.711631944400004,11.4130411255,75,38.374,32,8,22.0930232558,33.720930232600004,29.0697674419,11.6279069767,0.0,3.48837209302
314,2017,8,PARIS MONTPARNASSE,BORDEAUX ST JEAN,146.757201646,737,8,100,27.7058333333,4.49403292181,70,34.4147619048,25,8,14.606741573,17.977528089899995,19.1011235955,34.8314606742,5.61797752809,7.865168539330001
315,2017,8,LA ROCHELLE VILLE,PARIS MONTPARNASSE,172.11739130400002,231,1,34,18.4367647059,4.74152173913,12,30.1680555556,3,1,3.44827586207,37.9310344828,37.9310344828,10.3448275862,0.0,10.3448275862
316,2017,8,PARIS MONTPARNASSE,ST PIERRE DES CORPS,60.98963730569999,391,5,55,13.5596969697,2.26908462867,16,26.059375,4,1,15.625,9.375,25.0,43.75,6.25,0.0
317,2017,8,ITALIE,PARIS LYON,440.012820513,78,0,23,32.8557971014,13.3025641026,23,32.8557971014,7,1,21.7391304348,39.130434782600005,21.7391304348,17.3913043478,0.0,0.0
318,2016,10,LA ROCHELLE VILLE,PARIS MONTPARNASSE,207.336363636,221,1,11,48.0909090909,2.8090909090900005,11,48.090909100000005,6,5,12.5,25.0,37.5,25.0,0.0,0.0
319,2016,10,PARIS MONTPARNASSE,POITIERS,108.933,500,0,53,31.320754717,3.43,35,40.9714286,16,8,9.3023255814,46.511627907000005,18.6046511628,6.97674418605,13.9534883721,4.6511627907
320,2016,10,LILLE,PARIS NORD,63.3174603175,567,0,72,22.0277777778,2.8289241622600003,32,38.5,15,3,15.873015872999996,25.3968253968,19.0476190476,9.523809523810002,23.8095238095,6.34920634921
321,2016,10,ITALIE,PARIS LYON,259.852941176,85,0,12,44.0,6.905882352939999,12,44.0,3,2,16.6666666667,25.0,25.0,33.333333333300004,0.0,0.0
323,2017,10,ANGOULEME,PARIS MONTPARNASSE,124.273972603,292,0,38,23.7570175439,4.85707762557,24,4.85707762557,10,1,24.3243243243,18.9189189189,37.8378378378,13.5135135135,5.40540540541,0.0
325,2017,10,LYON PART DIEU,LILLE,186.246710526,313,9,110,28.2348484848,11.0140899123,84,11.0140899123,30,6,15.730337078699998,20.2247191011,40.4494382022,16.8539325843,3.37078651685,3.37078651685
326,2017,10,PARIS EST,STUTTGART,182.503563218,145,0,27,29.462345679,7.74183908046,19,7.74183908046,11,2,10.0,25.0,25.0,25.0,15.0,0.0
327,2017,5,PARIS EST,NANCY,95.1510791367,278,0,9,26.4444444444,0.557553956835,7,30.0,2,0,50.0,12.5,12.5,12.5,12.5,0.0
328,2017,5,PARIS LYON,MONTPELLIER,207.33673469400003,297,3,48,38.1041666667,6.90816326531,41,42.4304878,20,6,36.9565217391,26.0869565217,15.217391304299998,21.7391304348,0.0,0.0
329,2017,5,NICE VILLE,PARIS LYON,345.018867925,213,1,49,38.1224489796,10.4056603774,49,38.1190476,27,3,21.7391304348,28.2608695652,28.2608695652,17.3913043478,4.34782608696,0.0
330,2017,5,PARIS MONTPARNASSE,ANGERS SAINT LAUD,99.8658536585,412,2,46,24.4565217391,4.79024390244,27,33.6432099,7,1,22.5,27.500000000000004,25.0,25.0,0.0,0.0
331,2017,5,LYON PART DIEU,MARSEILLE ST CHARLES,105.881742739,485,3,113,29.7079646018,8.60995850622,92,33.6550725,35,10,30.1075268817,18.2795698925,29.0322580645,9.67741935484,9.67741935484,3.22580645161
332,2017,2,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.772727273,177,1,14,19.155952381,3.43200757576,7,26.7833333333,2,0,7.692307692310001,23.0769230769,30.7692307692,38.4615384615,0.0,0.0
333,2017,2,MARSEILLE ST CHARLES,LILLE,301.292682927,164,0,30,31.3066666667,6.92510162602,30,31.3066666667,11,2,30.0,26.6666666667,13.3333333333,20.0,10.0,0.0
334,2017,2,STUTTGART,PARIS EST,171.565298507,134,0,17,23.0147058824,4.19825870647,9,33.4685185185,3,1,26.6666666667,13.3333333333,33.333333333300004,0.0,26.6666666667,0.0
335,2017,6,ANNECY,PARIS LYON,224.240641711,187,0,25,42.76,6.54010695187,25,42.784,11,5,43.75,0.0,56.25,0.0,0.0,0.0
336,2017,6,RENNES,PARIS MONTPARNASSE,133.11265164600002,581,4,109,46.9449541284,10.1889081456,80,59.443125,44,21,20.0,2.85714285714,2.85714285714,68.57142857139999,5.71428571429,0.0
337,2017,6,STUTTGART,PARIS EST,186.979166667,144,0,38,20.9736842105,5.75,19,29.921052600000003,7,1,20.0,40.0,0.0,33.333333333300004,0.0,6.666666666669999
338,2015,5,AVIGNON TGV,PARIS LYON,161.988536155,567,0,102,28.2352941176,5.77072310406,71,35.1690141,23,7,22.1052631579,25.2631578947,22.1052631579,22.1052631579,3.1578947368400003,5.26315789474
339,2015,5,PARIS LYON,ANNECY,222.13,138,38,15,79.2666666667,14.7,15,79.2666667,12,10,27.2727272727,9.09090909091,27.2727272727,18.1818181818,0.0,18.1818181818
340,2015,7,PARIS EST,METZ,85.67218543050001,302,0,24,19.0833333333,1.4238410596000002,10,32.9,4,0,33.333333333300004,25.0,12.5,8.333333333330001,16.6666666667,4.16666666667
341,2015,7,METZ,PARIS EST,86.8866906475,278,0,38,24.3157894737,3.18705035971,17,43.29411760000001,12,2,18.9189189189,10.8108108108,51.351351351400005,8.10810810811,8.10810810811,2.7027027027
342,2015,7,LYON PART DIEU,PARIS LYON,120.528810409,539,1,59,26.3389830508,2.70074349442,41,32.4390244,13,3,33.8983050847,15.2542372881,13.5593220339,22.033898305100003,11.8644067797,3.38983050847
343,2015,7,POITIERS,PARIS MONTPARNASSE,107.102589641,504,2,97,43.4432989691,9.12549800797,66,57.9090909,39,23,40.0,28.4210526316,14.7368421053,3.1578947368400003,7.36842105263,6.3157894736800015
344,2015,7,PARIS MONTPARNASSE,VANNES,200.724489796,245,0,29,40.241379310300005,5.62448979592,29,40.24137929999999,15,4,28.5714285714,25.0,10.7142857143,14.2857142857,21.4285714286,0.0
345,2015,7,PARIS NORD,DUNKERQUE,119.85,243,3,17,40.0,2.3375,13,48.30769229999999,8,2,5.8823529411800015,29.4117647059,5.8823529411800015,23.5294117647,23.5294117647,11.7647058824
346,2015,7,PARIS NORD,LILLE,63.6513409962,524,2,48,34.2291666667,2.9521072796900003,21,66.2857143,13,5,12.7659574468,27.6595744681,10.6382978723,17.021276595699998,23.4042553191,8.510638297869999
347,2015,7,LYON PART DIEU,LILLE,188.473309609,281,0,103,30.4563106796,13.1423487544,87,33.643678200000004,28,13,18.62745098040001,38.2352941176,10.7843137255,16.6666666667,7.8431372548999985,7.8431372548999985
348,2015,7,LYON PART DIEU,MONTPELLIER,110.336927224,371,0,131,29.9694656489,12.9191374663,92,37.2282609,37,10,24.21875,30.46875,9.375,16.40625,13.28125,6.25
349,2015,7,STRASBOURG,NANTES,318.269230769,52,0,6,42.0,6.61538461538,6,42.0,3,1,50.0,33.333333333300004,0.0,16.6666666667,0.0,0.0
350,2015,6,PARIS EST,STRASBOURG,141.720930233,430,0,42,34.8571428571,3.72790697674,31,42.516129,19,6,57.142857142900006,11.9047619048,7.1428571428600005,14.2857142857,9.523809523810002,0.0
351,2015,6,PARIS LYON,MONTPELLIER,206.092105263,343,1,63,51.1904761905,11.9415204678,63,51.190476200000006,26,14,27.4193548387,35.4838709677,12.903225806499998,19.3548387097,3.22580645161,1.61290322581
352,2015,6,QUIMPER,PARIS MONTPARNASSE,280.223004695,213,0,17,45.411764705900005,3.64788732394,17,45.411764700000006,7,4,31.25,62.5,0.0,0.0,6.25,0.0
353,2015,5,PARIS MONTPARNASSE,BREST,270.990566038,212,0,11,53.4545454545,3.94339622642,11,53.4545455,6,2,81.8181818182,9.09090909091,0.0,9.09090909091,0.0,0.0
354,2015,5,PARIS MONTPARNASSE,LE MANS,59.2569767442,430,0,38,17.421052631600002,1.80930232558,10,43.4,3,3,17.1428571429,40.0,8.57142857143,17.1428571429,8.57142857143,8.57142857143
355,2015,5,PERPIGNAN,PARIS LYON,302.73870967700003,155,0,30,48.2,11.264516129,30,48.2,18,8,20.6896551724,27.5862068966,17.2413793103,31.034482758600006,0.0,3.44827586207
356,2015,5,MULHOUSE VILLE,PARIS LYON,167.304560261,307,0,13,34.0,0.57654723127,7,51.2857143,4,2,15.3846153846,15.3846153846,61.5384615385,0.0,7.692307692310001,0.0
357,2015,5,GRENOBLE,PARIS LYON,199.066350711,211,0,7,28.5714285714,1.45971563981,7,28.5714286,2,0,42.8571428571,0.0,28.5714285714,28.5714285714,0.0,0.0
358,2015,1,PARIS LYON,NIMES,177.905956113,320,1,34,32.8529411765,5.0282131661400005,22,44.0454545455,12,6,41.935483871,19.3548387097,12.903225806499998,9.67741935484,12.903225806499998,3.22580645161
359,2015,1,PARIS EST,REIMS,47.173708920200006,213,0,19,15.0,2.0985915493,6,28.8333333333,2,0,11.7647058824,17.6470588235,23.5294117647,23.5294117647,11.7647058824,11.7647058824
360,2015,1,LA ROCHELLE VILLE,PARIS MONTPARNASSE,192.349282297,210,1,9,54.0,3.0909090909099994,9,54.0,5,4,14.2857142857,71.4285714286,14.2857142857,0.0,0.0,0.0
361,2015,1,PARIS MONTPARNASSE,VANNES,200.582386364,177,1,9,25.6666666667,3.30681818182,9,25.6666666667,2,0,44.4444444444,33.333333333300004,11.1111111111,0.0,11.1111111111,0.0
362,2015,1,NANTES,STRASBOURG,327.038461538,39,0,3,46.6666666667,4.384615384619999,3,46.6666666667,3,0,66.6666666667,0.0,0.0,33.333333333300004,0.0,0.0
363,2018,2,PARIS LYON,BELLEGARDE (AIN),161.74162679399998,209,0,32,20.1802083333,5.20167464115,16,5.20167464115,4,1,19.3548387097,22.5806451613,45.1612903226,9.67741935484,3.22580645161,0.0
364,2018,6,PARIS MONTPARNASSE,ANGOULEME,126.683060109,226,43,30,23.81,6.552276867030001,16,6.552276867030001,7,2,10.0,30.0,33.333333333300004,23.3333333333,0.0,3.3333333333299984
365,2018,6,PARIS LYON,GRENOBLE,181.139784946,236,50,42,33.5714285714,8.080645161289999,33,8.080645161289999,16,7,5.0,22.5,15.0,50.0,7.5,0.0
368,2018,4,PARIS MONTPARNASSE,ST MALO,156.615384615,96,31,47,22.368439716300003,17.2264102564,30,17.2264102564,9,1,2.9411764705900003,82.35294117650001,2.9411764705900003,5.8823529411800015,5.8823529411800015,0.0
369,2018,4,VANNES,PARIS MONTPARNASSE,155.23699422,264,91,41,25.899593495900003,8.002215799610001,28,8.002215799610001,7,2,31.4285714286,25.7142857143,14.2857142857,14.2857142857,8.57142857143,5.71428571429
370,2018,4,NANTES,PARIS VAUGIRARD,142.4,40,0,3,47.4888888889,3.81791666667,2,3.81791666667,2,1,0.0,33.333333333300004,0.0,66.6666666667,0.0,0.0
371,2018,5,QUIMPER,PARIS MONTPARNASSE,226.765363128,242,63,16,34.2552083333,5.36415270019,16,5.33435185185,5,2,31.25,12.5,6.25,31.25,6.25,12.5
372,2018,5,NANTES,STRASBOURG,301.139534884,57,14,6,27.875,4.4515503876,6,4.4515503876,2,0,50.0,16.6666666667,16.6666666667,16.6666666667,0.0,0.0
373,2018,5,PARIS NORD,DUNKERQUE,115.173913043,252,91,23,67.6956521739,10.347826087,19,10.347826087,16,11,73.9130434783,4.34782608696,8.69565217391,13.0434782609,0.0,0.0
374,2018,5,PARIS LYON,GRENOBLE,188.8375,232,72,26,35.5769230769,6.609375,21,6.609375,10,3,24.0,20.0,24.0,28.000000000000004,4.0,0.0
375,2018,5,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,81.8873239437,223,10,39,20.0341880342,2.69491392801,18,2.69491392801,3,3,28.5714285714,14.2857142857,25.7142857143,11.4285714286,11.4285714286,8.57142857143
376,2018,1,NIMES,PARIS LYON,176.740412979,341,2,72,39.9497685185,7.79385447394,59,7.79385447394,32,12,18.75,40.625,17.1875,17.1875,1.5625,4.6875
377,2018,3,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165.712962963,221,5,26,23.6602564103,5.07361111111,13,5.07361111111,7,2,20.0,44.0,16.0,4.0,16.0,0.0
378,2018,3,TOURS,PARIS MONTPARNASSE,75.3121693122,194,5,32,20.7369791667,4.0741622575,13,4.0741622575,5,1,26.0869565217,30.4347826087,13.0434782609,26.0869565217,4.34782608696,0.0
379,2019,4,LE MANS,PARIS MONTPARNASSE,58.5058823529,425,0,94,21.5241134752,5.28733333333,32,5.28733333333,17,8,11.5942028986,34.7826086957,21.7391304348,23.1884057971,1.44927536232,7.246376811589999
380,2019,4,NANCY,PARIS EST,96.4703832753,289,2,22,20.5537878788,2.39709639954,10,2.39709639954,4,2,19.0476190476,33.333333333300004,28.5714285714,14.2857142857,4.7619047619,0.0
381,2019,4,PARIS LYON,ZURICH,240.91572104,141,0,12,29.0847222222,5.01773049645,12,5.01773049645,5,0,0.0,18.1818181818,45.4545454545,36.3636363636,0.0,0.0
382,2019,4,PARIS MONTPARNASSE,ANGOULEME,127.186379928,279,0,30,27.0977777778,3.46989247312,18,3.46989247312,7,2,31.818181818200003,22.7272727273,18.1818181818,9.09090909091,13.6363636364,4.54545454545
383,2019,5,PARIS MONTPARNASSE,BREST,221.901098901,273,0,16,40.65625,2.6336996337,16,40.65625,8,2,56.25,18.75,6.25,12.5,0.0,6.25
384,2019,5,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.31796690299998,858,12,51,22.2725490196,2.34623719464,33,28.0696969697,8,1,16.3265306122,26.5306122449,22.4489795918,18.3673469388,8.16326530612,8.16326530612
385,2019,6,PARIS MONTPARNASSE,LE MANS,59.9351230425,452,5,96,17.0557291667,4.15130499627,28,38.9672619048,14,6,15.4761904762,16.6666666667,46.4285714286,16.6666666667,3.5714285714300003,1.19047619048
386,2019,6,VALENCE ALIXAN TGV,PARIS LYON,133.561688312,308,0,61,53.0893442623,9.84772727273,52,60.0323717949,28,15,24.5901639344,31.147540983599995,22.9508196721,13.1147540984,6.557377049179999,1.6393442623
387,2019,5,METZ,PARIS EST,85.74418604649999,305,4,51,18.0369281046,3.66871539313,15,39.68,7,2,4.34782608696,26.0869565217,41.3043478261,17.3913043478,8.69565217391,2.17391304348
388,2019,5,PARIS LYON,NIMES,176.798657718,302,4,40,33.3333333333,4.92757270694,21,52.0682539683,12,5,27.500000000000004,15.0,30.0,27.500000000000004,0.0,0.0
389,2015,6,PARIS NORD,LILLE,65.5852459016,611,1,58,24.9655172414,2.04426229508,31,38.483871,14,5,30.1886792453,16.9811320755,16.9811320755,16.9811320755,16.9811320755,1.88679245283
391,2015,5,STRASBOURG,PARIS EST,141.74115044200002,452,0,29,21.4827586207,1.72787610619,15,29.5333333,5,1,17.2413793103,6.896551724139999,68.96551724140001,3.44827586207,0.0,3.44827586207
392,2015,5,MARSEILLE ST CHARLES,PARIS LYON,198.291954023,435,0,50,42.44,5.99310344828,50,42.44,20,9,35.4166666667,20.8333333333,16.6666666667,25.0,0.0,2.08333333333
393,2015,5,PARIS MONTPARNASSE,QUIMPER,271.780104712,191,0,11,35.3636363636,2.71727748691,11,35.3636364,5,2,80.0,10.0,0.0,10.0,0.0,0.0
395,2015,1,PARIS MONTPARNASSE,TOURS,74.6171428571,175,0,23,15.7826086957,2.83428571429,4,45.0,3,1,22.2222222222,27.7777777778,11.1111111111,11.1111111111,16.6666666667,11.1111111111
396,2015,1,PARIS LYON,ANNECY,222.423566879,159,2,10,55.1,5.42038216561,10,55.1,8,2,60.0,10.0,20.0,10.0,0.0,0.0
397,2015,1,PARIS LYON,ITALIE,259.620689655,87,0,13,28.3846153846,6.50574712644,13,28.3846154,3,1,4.59770114943,4.59770114943,0.0,1.14942528736,0.0,3.44827586207
400,2018,1,PARIS LYON,CHAMBERY CHALLES LES EAUX,186.00738007400005,271,0,36,39.0712962963,5.81365313653,26,5.81365313653,17,5,14.705882352899998,26.470588235300003,20.5882352941,32.3529411765,5.8823529411800015,0.0
401,2018,1,PARIS LYON,AIX EN PROVENCE TGV,186.931603774,424,0,47,36.9464539007,4.34088050314,44,4.34088050314,21,5,33.333333333300004,37.7777777778,11.1111111111,17.7777777778,0.0,0.0
402,2018,2,LYON PART DIEU,PARIS LYON,120.499165275,604,5,81,23.1144032922,3.63049526989,46,3.63049526989,14,2,21.621621621600003,22.972972973,21.621621621600003,24.3243243243,8.10810810811,1.35135135135
403,2018,2,LAUSANNE,PARIS LYON,220.313932292,128,0,11,47.3984848485,4.80989583333,11,4.80989583333,6,4,36.3636363636,27.2727272727,18.1818181818,9.09090909091,9.09090909091,0.0
404,2018,1,DUNKERQUE,PARIS NORD,116.540983607,245,1,28,28.9255952381,4.73736338798,19,4.73736338798,8,2,26.0869565217,26.0869565217,26.0869565217,17.3913043478,4.34782608696,0.0
405,2018,2,STUTTGART,PARIS EST,188.573182957,136,3,36,33.6976851852,11.676566415999998,36,11.676566415999998,15,3,52.7777777778,5.555555555560001,16.6666666667,22.2222222222,2.77777777778,0.0
406,2018,6,PARIS MONTPARNASSE,NANTES,124.774678112,540,74,65,43.5138461538,7.39277539342,46,7.39277539342,25,7,32.307692307699995,30.7692307692,21.5384615385,7.692307692310001,4.615384615380001,3.0769230769200004
407,2018,6,MARNE LA VALLEE,LYON PART DIEU,109.67752443,391,84,56,21.9083333333,4.49755700326,34,4.49755700326,13,1,23.3333333333,33.333333333300004,10.0,16.6666666667,10.0,6.666666666669999
408,2018,6,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,81.787037037,217,1,53,24.127672956,5.92044753086,19,5.92044753086,13,8,4.44444444444,28.8888888889,28.8888888889,24.4444444444,13.3333333333,0.0
409,2018,6,PARIS LYON,NIMES,177.387195122,418,90,64,40.27265625,8.65193089431,52,8.65193089431,28,17,12.903225806499998,33.8709677419,12.903225806499998,35.4838709677,3.22580645161,1.61290322581
410,2018,6,PARIS LYON,PERPIGNAN,305.375886525,200,59,39,50.2735042735,15.5658392435,39,15.5658392435,22,10,25.641025641,43.5897435897,12.8205128205,17.9487179487,0.0,0.0
411,2018,3,PARIS MONTPARNASSE,LE MANS,54.6132723112,444,7,49,24.719047619,3.1449275362299995,23,3.1449275362299995,9,4,28.125,25.0,18.75,21.875,3.125,3.125
412,2018,3,ST MALO,PARIS MONTPARNASSE,156.945054945,92,1,8,24.4104166667,4.11428571429,6,4.11428571429,2,0,33.333333333300004,33.333333333300004,16.6666666667,16.6666666667,0.0,0.0
413,2018,3,DUNKERQUE,PARIS NORD,116.849593496,255,9,46,27.1996376812,7.155081300810001,22,7.155081300810001,10,4,15.3846153846,28.205128205100003,41.0256410256,7.692307692310001,7.692307692310001,0.0
414,2018,3,MARSEILLE ST CHARLES,LILLE,309.315217391,189,5,38,37.9399122807,10.4436594203,38,10.4436594203,18,9,18.9189189189,13.5135135135,18.9189189189,37.8378378378,8.10810810811,2.7027027027
415,2018,5,LE MANS,PARIS MONTPARNASSE,56.429022082,419,102,99,17.9171717172,6.14884332282,37,6.14884332282,14,5,39.1891891892,29.7297297297,9.45945945946,13.5135135135,4.05405405405,4.05405405405
416,2018,5,RENNES,PARIS MONTPARNASSE,98.9178743961,614,200,89,18.7301498127,5.13844605475,36,5.13844605475,11,5,36.9230769231,20.0,15.3846153846,18.4615384615,3.0769230769200004,6.15384615385
417,2018,5,PARIS LYON,DIJON VILLE,97.389380531,435,96,33,34.7590909091,3.5629793510300005,26,3.5629793510300005,15,5,37.5,9.375,6.25,40.625,6.25,0.0
418,2018,5,DIJON VILLE,PARIS LYON,97.9775280899,434,78,49,34.043877551,5.065636704119999,33,5.065636704119999,18,8,30.0,10.0,20.0,20.0,20.0,0.0
420,2018,4,LAVAL,PARIS MONTPARNASSE,86.26573426569999,209,66,48,14.598263888900002,5.118414918409999,10,5.118414918409999,4,1,25.925925925900003,44.4444444444,18.5185185185,11.1111111111,0.0,0.0
421,2018,4,TOURS,PARIS MONTPARNASSE,75.8550724638,174,36,46,14.0782608696,5.16594202899,12,5.16594202899,5,1,33.333333333300004,20.8333333333,25.0,20.8333333333,0.0,0.0
422,2018,4,PARIS EST,NANCY,95.2422907489,322,95,17,22.7656862745,2.05961820852,14,2.05961820852,6,1,11.7647058824,17.6470588235,17.6470588235,17.6470588235,29.4117647059,5.8823529411800015
423,2018,4,LILLE,PARIS NORD,63.819477434700005,616,195,103,12.555987055,3.81306413302,26,3.80402843602,6,0,14.130434782599998,29.347826087,30.4347826087,17.3913043478,6.521739130429999,2.17391304348
424,2018,4,PARIS NORD,DUNKERQUE,119.375,231,87,25,27.36,5.06944444444,17,5.06944444444,7,1,16.0,20.0,16.0,32.0,12.0,4.0
425,2018,4,TOURCOING,MARSEILLE ST CHARLES,309.0,26,8,1,22.9166666667,2.11296296296,1,2.11296296296,0,0,0.0,0.0,100.0,0.0,0.0,0.0
426,2018,4,AVIGNON TGV,PARIS LYON,159.398148148,608,176,55,35.2663636364,4.54949845679,42,4.54949845679,25,8,30.7692307692,19.2307692308,21.1538461538,21.1538461538,3.84615384615,3.84615384615
427,2018,4,DIJON VILLE,PARIS LYON,99.5095541401,447,133,31,23.0747311828,1.77048832272,19,1.77048832272,3,2,26.0869565217,4.34782608696,21.7391304348,30.4347826087,8.69565217391,8.69565217391
428,2018,4,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,82.0114942529,218,44,19,26.6570175439,1.98783524904,7,1.98783524904,3,1,31.5789473684,10.5263157895,15.7894736842,21.0526315789,15.7894736842,5.26315789474
429,2019,6,PARIS NORD,ARRAS,49.4020618557,305,14,67,19.6094527363,4.802691867119999,30,32.6511111111,15,2,20.6349206349,11.1111111111,15.873015872999996,31.746031746,14.2857142857,6.34920634921
430,2019,6,AVIGNON TGV,PARIS LYON,164.7617866,425,22,58,32.950862069,5.1641439206,38,43.699122807,19,9,15.7894736842,26.3157894737,24.5614035088,19.298245614,7.017543859649999,7.017543859649999
431,2019,6,BESANCON FRANCHE COMTE TGV,PARIS LYON,131.445595855,196,3,17,51.1245098039,4.48696027634,14,59.1654761905,10,4,29.4117647059,17.6470588235,29.4117647059,11.7647058824,11.7647058824,0.0
432,2019,6,MONTPELLIER,PARIS LYON,207.33630952400003,336,0,53,67.5525157233,10.3392857143,53,67.5525157233,28,14,32.0754716981,26.4150943396,15.0943396226,15.0943396226,9.43396226415,1.88679245283
433,2019,6,PARIS LYON,PERPIGNAN,306.64171123,187,0,29,83.7620689655,12.9481283422,29,83.7620689655,16,12,10.3448275862,27.5862068966,20.6896551724,34.482758620700004,6.896551724139999,0.0
434,2019,5,MONTPELLIER,LYON PART DIEU,112.774358974,225,30,24,48.2215277778,7.955042735039999,21,53.2579365079,13,8,41.6666666667,16.6666666667,12.5,29.1666666667,0.0,0.0
435,2019,5,PARIS NORD,DOUAI,69.2335025381,197,0,24,26.0222222222,2.2945854483900003,15,36.5388888889,6,1,30.4347826087,13.0434782609,17.3913043478,21.7391304348,17.3913043478,0.0
436,2019,5,LAUSANNE,PARIS LYON,206.762068966,145,0,14,37.9678571429,4.00666666667,14,37.9678571429,6,3,14.2857142857,21.4285714286,42.8571428571,14.2857142857,0.0,7.1428571428600005
437,2015,3,NANCY,PARIS EST,95.8384353741,294,0,15,22.5333333333,0.105442176871,10,27.8,2,1,78.5714285714,0.0,7.1428571428600005,7.1428571428600005,7.1428571428600005,0.0
438,2015,3,PARIS LYON,DIJON VILLE,98.0210772834,427,0,9,22.0,0.0070257611241199,4,33.25,2,1,33.333333333300004,22.2222222222,0.0,22.2222222222,22.2222222222,0.0
439,2015,3,ANGERS SAINT LAUD,PARIS MONTPARNASSE,99.1832627119,472,0,28,25.8214285714,2.11440677966,18,33.2222222,9,2,37.037037037,33.333333333300004,3.7037037037,11.1111111111,11.1111111111,3.7037037037
440,2015,3,QUIMPER,PARIS MONTPARNASSE,289.134715026,193,0,16,41.375,3.35233160622,16,41.375,7,3,37.5,50.0,12.5,0.0,0.0,0.0
441,2015,3,PARIS NORD,DOUAI,71.1153846154,209,1,15,12.5333333333,0.855769230769,3,28.6666667,1,0,50.0,28.5714285714,0.0,0.0,7.1428571428600005,14.2857142857
443,2015,3,PARIS LYON,ITALIE,257.827777778,90,0,5,22.6,3.81111111111,5,22.6,0,0,0.0,40.0,20.0,20.0,20.0,0.0
444,2017,12,CHAMBERY CHALLES LES EAUX,PARIS LYON,183.011406844,268,5,80,33.3210416667,10.6674904943,62,10.6674904943,29,11,29.5774647887,30.985915493,26.7605633803,7.04225352113,4.22535211268,1.40845070423
445,2017,12,PARIS LYON,PERPIGNAN,308.30625,160,0,24,55.4131944444,9.4315625,24,9.4315625,13,7,37.5,33.333333333300004,16.6666666667,8.333333333330001,0.0,4.16666666667
